ROI	structure	B51315	B51325	B51732	B51742	B51852	B51861	B51872	B51882	B51813	B51824	B51836	B52233	B52242	B52253	B52264	B52274	B53106	B52711	B52715	B52823	B52824	B52825	B52836	B53041	B53054	B53161	B53183	B53195	B53212	B53233	B53245	B53257	B53269	B53279	B53281	B53291	B55012	B55023	B55034	B55045	B55056	B54611	B54623	B54645	B54751	B49913	B49924	B49935	B49946	B49957	B49968	B49978	B49901
1154		48.06818	126.4026	118.777	276.0783	300.5379	279.905	150.6575	151.6661	230.2283	356.1177	201.4655	113.4009	272.8427	75.31466	188.2017	377.1108	134.8489	108.565	180.856	144.352	280.4476	281.3891	198.1955	122.2795	264.2419	223.4282	251.0924	199.9869	70.81341	172.514	138.7036	79.2452	175.3106	174.2818	167.6184	200.6705	76.6919	193.713	238.196	166.313	115.782	69.33694	179.2751	113.98	117.2857	19.01563	41.75824	180.406	82.04948	302.0728	268.3523	141.4299	92.83688
1155		114.1246	215.5324	206.0029	290.0408	178.3291	354.9554	60.20254	262.9518	334.4798	212.1476	356.527	134.8149	227.0337	192.031	167.8166	353.454	115.4505	176.9079	183.7449	199.5056	103.9894	111.4231	153.5522	51.6204	188.4703	144.9277	187.1667	178.8965	197.7601	254.9137	149.6037	95.67867	108.86	170.9589	209.2941	206.0267	112.4238	197.5744	244.6542	217.4352	151.1861	154.6769	192.0005	217.169	140.326	95.78243	47.02521	63.15331	240.3581	115.6775	225.2045	234.9404	73.49838
1156		72.81055	222.3154	176.4533	284.7805	150.5434	221.0897	149.7739	308.408	204.7756	244.9465	273.5362	154.5484	240.2483	150.6636	67.41742	208.1564	103.8751	156.8022	278.139	174.7315	96.98205	122.3005	165.0544	87.02733	196.6091	196.1736	180.657	199.3033	169.7919	228.7579	170.1383	157.2586	184.6143	174.4965	193.6776	232.7124	98.60765	274.8281	271.0587	218.1005	133.1341	134.9194	275.8045	217.7156	162.5226	76.98978	48.25119	165.4084	286.9585	179.8787	265.1665	280.6864	74.48905
1157		97.79884	215.5225	187.0823	298.1024	198.3493	138.6968	111.7795	278.0515	129.1723	203.2204	96.10902	136.5444	235.7318	162.2657	144.702	137.4937	187.019	108.0756	148.1075	153.2704	81.95415	102.1553	203.2896	115.7329	175.8551	157.8353	128.0043	130.1613	101.9409	168.0482	97.99868	85.39361	144.4308	191.6855	237.733	165.1575	74.21024	158.7203	243.3387	141.4928	199.8848	131.7325	129.3667	156.692	72.35529	68.75505	31.08064	79.35519	207.159	372.0475	243.5864	218.7839	94.5405
1158		49.6919	228.9519	289.3331	171.8146	187.9888	168.6364	130.2486	140.9021	257.9238	157.9927	123.5758	149.1089	149.6025	206.5835	139.0068	137.5508	57.79471	62.06936	174.9942	67.45068	84.7757	76.20856	80.50117	69.77262	117.178	100.5919	154.5968	30.81807	51.04323	95.91527	53.88662	93.78794	126.0605	53.24984	87.17253	59.27275	107.8298	123.4656	183.0121	58.86331	91.74902	166.4719	84.17806	102.1659	108.1419	97.48248	41.60674	68.44083	296.6907	318.2444	115.8166	119.215	206.5496
1160		47.18888	179.5732	235.4473	205.0996	184.3512	218.7093	107.9011	118.7824	222.1197	186.5287	174.6298	115.1719	190.1724	191.622	149.2491	184.6471	111.8074	109.7997	151.2919	111.8195	215.9932	195.6938	149.802	93.26788	92.20914	145.6785	95.70897	109.2543	98.99023	113.1742	107.6577	75.11212	119.6677	100.4245	79.64771	152.2803	113.3661	153.5921	138.7554	149.8726	127.0785	126.4074	141.0133	154.201	89.3824	110.208	66.14575	78.15498	211.3293	259.9737	250.7695	334.6373	106.3013
1161		110.2777	310.084	73.02639	412.5103	151.1235	238.7415	118.6124	291.7021	258.9123	355.3647	196.1411	183.6285	273.6178	250.5716	176.7426	210.3889	127.3406	194.0781	151.003	216.1287	233.4538	196.4794	317.6189	92.37715	229.8692	144.4182	221.8819	216.9021	133.6657	211.2404	166.6853	134.074	176.5225	159.0618	221.1888	165.4732	175.1134	243.7601	269.0554	247.9434	155.2372	319.1595	190.5126	165.5531	242.674	97.69833	29.82372	118.9698	304.0484	250.1274	253.1371	224.8554	85.89547
1162		103.9231	130.1689	250.6939	142.5883	138.2386	128.9302	174.8859	232.1606	297.6593	200.8037	172.0235	372.102	119.5123	179.3997	190.894	138.6662	80.78954	133.1803	135.0167	137.2713	171.1816	133.1233	198.3765	83.87981	130.4727	135.9814	107.4556	96.9891	124.0387	93.32368	129.5031	133.6027	143.4629	127.7072	166.6695	66.86866	339.2741	189.1686	163.5372	112.517	113.4221	106.9775	154.9547	294.7104	176.2904	158.7289	113.1146	164.0972	178.6812	232.9095	171.4088	206.5004	157.9902
1163		72.67579	242.0138	159.0596	210.7129	136.5353	189.4247	96.45413	181.0718	261.4066	158.2318	138.944	88.44955	252.7504	153.2346	174.3347	202.4936	74.48463	125.7609	179.7993	101.9951	112.8256	115.1161	99.61939	36.69701	114.7044	135.2753	76.56663	89.48443	82.80099	122.0951	86.55041	63.83027	85.00902	71.9594	119.5261	152.0089	146.3918	131.5937	165.9668	71.72971	128.0929	103.5986	126.9895	160.1332	86.32851	122.5256	91.52857	108.4016	223.5328	262.6635	203.0079	177.0263	110.8504
1164		69.69632	190.9823	265.7528	196.5216	74.07376	226.0935	139.6328	125.3909	190.3613	118.6597	162.0908	68.78899	221.7039	156.0401	143.5571	248.6658	67.71562	74.99904	153.1771	111.5322	159.3241	128.7192	111.0489	58.99071	85.66154	129.0763	66.26773	111.6527	94.47004	85.67059	59.78324	116.4415	73.89269	102.6974	98.36338	156.8651	188.3978	109.8572	182.3399	91.72031	77.46957	80.42624	110.6167	176.1603	133.8078	183.0302	62.87105	99.66774	145.2013	295.9196	110.5656	188.1177	61.63061
1165		130.0114	220.3563	285.1174	272.8189	222.0611	252.9632	122.5656	110.8867	178.6923	148.1477	129.3805	118.8054	179.3973	178.7875	199.4294	146.136	81.19773	84.77858	191.4532	131.3045	109.1065	131.2101	75.46503	23.59144	154.4843	115.8363	61.75226	89.46768	105.534	107.5566	81.55557	75.45438	104.1596	73.32611	80.22356	89.48159	89.45704	136.4548	149.6097	73.55779	154.5365	83.7102	77.93352	176.3021	53.95291	157.5084	60.39782	106.8897	234.4607	345.1294	187.9165	146.5	150.3176
1166		60.79589	121.0263	156.7435	140.8397	68.13972	196.9257	150.1137	259.9789	217.1995	211.2356	171.4795	152.8721	112.8527	185.8693	176.1791	222.5565	74.81627	100.2574	80.70268	129.5201	146.5309	158.3588	219.2954	80.89825	129.2987	129.7767	118.6489	160.015	87.67131	120.5456	117.6854	68.0475	130.2445	155.6279	157.8314	120.5482	73.01377	199.4062	136.4766	187.3432	181.0513	175.4636	173.3884	164.2954	134.7148	102.9641	114.6987	104.306	118.7166	315.7213	251.3872	299.6254	96.08234
