ROI	structure	B51315	B51325	B51732	B51742	B51852	B51861	B51872	B51882	B51813	B51824	B51836	B52233	B52242	B52253	B52264	B52274	B53106	B52711	B52715	B52823	B52824	B52825	B52836	B53041	B53054	B53161	B53183	B53195	B53212	B53233	B53245	B53257	B53269	B53279	B53281	B53291	B55012	B55023	B55034	B55045	B55056	B54611	B54623	B54645	B54751	B49913	B49924	B49935	B49946	B49957	B49968	B49978	B49901
1121		87.0972	220.3173	185.6997	188.3328	167.3456	212.9227	128.5925	210.7946	176.979	198.0823	151.9035	140.6573	227.0522	201.1584	214.1413	223.4991	94.29728	107.2321	190.6033	115.8309	142.4939	179.4766	153.5248	69.28671	118.914	138.1804	126.9248	138.8235	68.04247	134.0689	117.109	80.24606	126.666	129.8306	136.2927	136.7421	159.1951	168.3748	162.3369	153.9641	148.0612	186.4453	165.9429	179.2071	159.5395	67.27537	51.11225	93.34862	241.4192	320.5391	208.9696	210.2776	102.2031
1122		142.2579	332.9887	227.4268	196.8545	163.0645	220.445	124.9094	218.5727	136.3432	167.0335	172.1403	197.6806	259.6733	285.4723	292.0323	278.7177	64.3333	118.171	59.91875	171.4354	133.9699	77.56691	122.6154	66.16425	133.1144	94.26409	77.74918	101.454	79.15969	137.9726	80.62563	74.10725	93.64167	142.6459	160.9236	113.2307	172.2243	149.4004	148.7749	118.7639	49.89821	261.9166	177.1194	236.8154	159.8344	153.9048	49.19653	116.9723	337.0882	383.1782	267.3056	264.2523	114.9343
1123		72.63787	268.9912	221.0772	233.2371	223.942	161.8207	101.6367	278.2085	207.1828	155.9573	149.9938	141.1312	210.4634	199.5113	214.0162	214.0508	74.86886	101.2623	119.6508	110.305	137.3765	110.7169	182.843	78.20208	99.11794	92.08665	136.2087	123.156	75.27267	122.9685	112.3103	74.84051	90.96323	108.798	133.3935	129.9647	107.5173	138.8087	144.1115	118.3248	97.56686	172.2959	147.5786	158.9508	146.8533	60.25333	81.08849	81.40443	191.24	194.6259	219.2243	265.9429	131.537
1124		93.8622	245.2978	163.0238	195.1786	162.2449	274.7005	136.4249	256.2903	274.4929	169.3645	188.9571	147.9132	253.2281	207.7651	309.1952	347.2817	141.1001	100.2213	222.633	127.6498	186.242	262.4215	185.7491	66.50307	143.5851	165.1656	130.4103	141.0849	76.95884	158.103	129.377	123.732	119.2328	148.5886	140.9696	150.2466	198.891	184.7444	162.8079	130.7054	180.9027	202.6018	180.029	208.0951	184.5944	66.06623	83.18976	82.95552	254.7952	394.5778	204.5892	212.099	90.87165
1125		23.85549	175.1994	136.5741	281.6682	220.1777	192.6201	175.169	249.0075	204.3954	208.7189	185.5945	156.3732	125.7145	157.4264	265.3261	304.0879	155.2744	152.5668	121.501	217.7778	132.6794	154.5363	141.1902	127.1349	174.7314	207.4429	207.4932	142.0099	112.1072	116.9279	173.9081	122.0896	133.5382	131.026	179.2889	151.892	144.8724	211.7239	217.7664	198.0765	116.678	101.9917	150.5821	145.9286	155.3063	119.7931	139.4262	114.5697	211.0215	148.9966	206.3186	231.2381	72.1218
1126		148.8085	358.9004	199.2196	147.4934	221.1105	104.7752	166.3252	113.91	48.94249	103.6811	159.568	208.2633	233.6816	200.1363	188.6181	93.15806	104.5796	69.99577	268.9136	118.0604	105.8386	95.78307	156.9489	79.93154	137.5442	39.58316	162.3188	128.9598	130.1316	156.457	68.04269	55.81031	76.11516	113.0939	108.2002	38.86459	117.0961	143.5285	150.4339	114.1452	82.73344	168.7749	161.4232	247.3167	175.0017	36.69345	37.28267	175.8875	317.1072	201.1627	89.40668	208.1376	216.2753
1127		43.86962	286.379	204.808	184.3562	227.1666	185.8628	108.0296	260.8134	193.9591	215.2176	169.1691	139.3298	240.2167	178.6116	204.9901	214.0544	61.24365	80.72782	95.48246	73.33435	159.5739	157.8411	165.2263	64.10623	106.987	111.9224	118.6143	129.5486	85.18446	98.97495	82.44084	63.51894	99.4135	80.18958	112.4618	99.07165	118.0092	117.4977	130.5794	104.7136	90.05	140.2747	120.041	223.1936	117.0462	81.381	74.23914	83.09746	262.5565	253.8252	184.3447	265.0255	101.3492
1129		100.0246	277.2034	147.1614	223.9756	165.2138	187.6356	104.348	192.0917	131.8526	180.8113	66.06515	87.29291	271.9156	182.1036	243.3969	213.4819	117.7736	132.3678	146.6131	99.05548	120.5835	194.3494	162.1242	54.9171	145.3971	111.9079	69.89337	90.23833	60.07149	84.7677	91.30321	89.11871	137.1604	144.7924	156.6269	139.3288	63.23503	112.965	89.88728	149.4115	109.5441	139.9506	93.13071	148.2214	111.987	51.06093	38.50932	62.0225	281.8564	406.0584	292.8771	80.44801	79.40652
1131		76.44319	254.9887	256.0185	125.1337	279.6551	269.2778	100.8421	327.2826	144.35	93.43014	98.5032	92.1226	228.2171	166.1655	170.9172	323.7773	155.9762	140.4539	191.0124	115.6307	193.351	310.5653	292.2682	69.74568	79.68462	222.2214	92.29298	194.6967	82.9241	98.30974	124.8138	58.79161	116.8252	115.4328	168.9041	174.4498	159.2511	139.8987	109.445	188.9917	121.3304	178.9967	112.7216	97.50851	127.3399	63.99567	48.32441	91.90766	116.2726	89.71352	418.0891	268.1524	47.33223
1132		105.9617	253.0697	202.9712	232.3226	225.8207	147.611	118.987	354.0133	201.9364	309.4931	229.538	156.4865	173.2785	193.2185	465.8811	258.3749	158.256	99.85715	194.5085	158.3601	116.7807	210.3826	172.8593	88.54555	129.8978	188.6228	185.332	186.7161	151.1553	183.1168	151.7639	106.4063	134.8386	203.5338	177.2882	178.2819	133.6642	199.9892	185.7516	177.8614	151.3647	193.8047	199.3924	146.9089	162.7222	84.35093	56.95618	111.9149	230.5328	228.5667	230.2336	293.0948	63.9808
