ROI	B51315	B51325	B51732	B51742	B51852	B51861	B51872	B51882	B51813	B51824	B51836	B52233	B52242	B52253	B52264	B52274	B53106	B52711	B52715	B52823	B52824	B52825	B52836	B53041	B53054	B53161	B53183	B53195	B53212	B53233	B53245	B53257	B53269	B53279	B53281	B53291	B55012	B55023	B55034	B55045	B55056	B54611	B54623	B54645	B54751	B49913	B49924	B49935	B49946	B49957	B49968	B49978	B49901
10	0.5576108	0.6397437	0.5767913	0.4675086	0.5798011	0.470675	0.489731	0.4410762	0.5321692	0.5296537	0.5146034	0.6017352	0.5980005	0.6371076	0.5883683	0.5699998	0.4193635	0.4647661	0.4226722	0.4464736	0.3564776	0.42624	0.4227472	0.3541069	0.3689521	0.4235134	0.4300616	0.4289843	0.4178664	0.4083367	0.4367855	0.3988019	0.3664935	0.4229207	0.3881739	0.398937	0.2970735	0.4439858	0.4471257	0.4935409	0.4033746	0.3197233	0.4580482	0.4396278	0.5387133	0.4756463	0.7316015	0.6850699	0.6393476	0.5247146	0.7526292	0.6580458	0.611456
11	0.5894288	0.6766984	0.6068485	0.5175102	0.6245162	0.4978905	0.550461	0.5502852	0.6046695	0.5814027	0.5610085	0.6065741	0.6352403	0.6451922	0.6357334	0.5899115	0.4230625	0.4827054	0.4501176	0.46808	0.3704939	0.4625846	0.4478695	0.3949071	0.4124287	0.4525842	0.4670091	0.4407496	0.4596709	0.4275849	0.4945389	0.4312446	0.3725931	0.429073	0.4105258	0.4052984	0.3159204	0.4637477	0.4803796	0.5406629	0.4274603	0.3421709	0.5048306	0.4676741	0.5441865	0.5096837	0.8030679	0.7019257	0.6878258	0.5646857	0.7174149	0.7204245	0.6970614
12	0.5162957	0.6182986	0.5413663	0.4453464	0.5500442	0.438868	0.4571469	0.4374141	0.4973084	0.4808342	0.4873951	0.5588633	0.5667922	0.5923123	0.5844108	0.5524715	0.3935064	0.4494577	0.3959483	0.4340309	0.3400486	0.3976325	0.3763542	0.3406545	0.3419071	0.3993769	0.3985329	0.3919493	0.387337	0.3757619	0.4129351	0.3647765	0.3314898	0.3966036	0.3553817	0.3524317	0.2641752	0.4017691	0.420531	0.4572981	0.3749819	0.2922476	0.410171	0.3967049	0.4573207	0.4585311	0.6911371	0.6376131	0.5961916	0.4898322	0.6422459	0.6195329	0.5895106
13	0.4282425	0.5793017	0.4155688	0.4065472	0.407618	0.3432873	0.3336614	0.502221	0.462476	0.4063667	0.3912973	0.4647135	0.4577607	0.4915911	0.400983	0.3707131	0.2723138	0.3666874	0.2840919	0.3162606	0.2631623	0.2753858	0.2740174	0.2436046	0.2664294	0.3091781	0.2983966	0.266295	0.2793038	0.2653763	0.3736078	0.3152113	0.218314	0.2879391	0.2885666	0.2493082	0.2276268	0.2023413	0.2318697	0.2452257	0.2348729	0.2468208	0.313808	0.2853425	0.2865704	0.3388657	0.5103322	0.4861303	0.5087745	0.4400662	0.4870271	0.5147114	0.5070788
14	0.4736957	0.664638	0.4586123	0.4715289	0.4716047	0.4042731	0.3993385	0.5936938	0.5093712	0.4652785	0.4443215	0.5245501	0.5109176	0.5606894	0.4758288	0.4441392	0.3065807	0.4187763	0.3183069	0.3756456	0.3170545	0.3294505	0.3287775	0.2801608	0.2852143	0.3488011	0.3320657	0.3154315	0.3072095	0.3193987	0.4413929	0.3410381	0.2627666	0.3450575	0.3218123	0.2720101	0.2808868	0.2566405	0.2815758	0.3235198	0.3061011	0.2873021	0.3832527	0.3200064	0.3599665	0.4149854	0.6700966	0.5830507	0.6428748	0.5106252	0.5567854	0.6206234	0.626074
15	0.4887982	0.6961884	0.4543606	0.4811981	0.4372689	0.3756353	0.3784353	0.6038604	0.5220353	0.4699661	0.4370397	0.5583408	0.5396687	0.5855307	0.4380787	0.4136313	0.3017106	0.4125828	0.3023232	0.3576056	0.3045915	0.3208551	0.3305525	0.271992	0.2827621	0.3494915	0.3566235	0.3132554	0.315906	0.2995289	0.4213901	0.3472709	0.2463134	0.3307866	0.3352942	0.2677284	0.2809494	0.2263614	0.2556257	0.2850004	0.2533199	0.2641242	0.3453054	0.3558398	0.3559423	0.3832271	0.6167815	0.5138742	0.547646	0.4837573	0.4605306	0.5942307	0.5567492
16	0.3983125	0.5414706	0.4104115	0.3843137	0.4104134	0.3501586	0.3414399	0.452324	0.4230926	0.38436	0.382013	0.4394974	0.4278814	0.4380125	0.4182318	0.3929524	0.2761348	0.3744176	0.2800061	0.3352312	0.2729185	0.2875387	0.2725686	0.2504529	0.2533463	0.3090323	0.2861073	0.2829705	0.2780287	0.2863821	0.3774587	0.294952	0.2374528	0.2862039	0.2751898	0.2469377	0.2291435	0.2491621	0.2640983	0.3027911	0.2873766	0.2367956	0.3429929	0.2602372	0.3073185	0.3461708	0.528346	0.455175	0.487545	0.3909357	0.4443001	0.4808465	0.4677212
17	0.4584031	0.6186497	0.4385867	0.4397418	0.413778	0.3768275	0.3590645	0.5455568	0.4811821	0.4554233	0.4149848	0.5029411	0.4903658	0.5179154	0.4365862	0.392702	0.2939702	0.3965102	0.3093722	0.3413542	0.2935709	0.2988633	0.3071038	0.2661543	0.2728994	0.3278914	0.3234126	0.287973	0.2899319	0.285286	0.3987122	0.329147	0.2297589	0.3029675	0.3077508	0.2599528	0.2477708	0.2369225	0.2585282	0.2762012	0.2632875	0.2744858	0.3507172	0.3334362	0.3573155	0.4042718	0.6407185	0.5425434	0.5856984	0.4872622	0.504395	0.5462179	0.5598817
18	0.7485687	0.8219916	0.7002764	0.7090903	0.773808	0.705762	0.7626083	0.7610264	0.7048482	0.7101712	0.6896533	0.7032195	0.7707667	0.7872584	0.8260685	0.7605816	0.5849383	0.580992	0.4598101	0.5719284	0.4983863	0.518145	0.5646379	0.4966885	0.4535215	0.5717272	0.5511307	0.5435935	0.5478888	0.5217448	0.560731	0.4625702	0.4449576	0.5068704	0.4412856	0.4714802	0.4757878	0.5715781	0.5922655	0.603339	0.5339423	0.5083115	0.8010073	0.5711036	0.6447139	0.7014554	0.8976133	0.8337345	0.8198422	0.7984905	0.828128	0.8066341	0.8021772
19	0.537972	0.7396754	0.5258701	0.5909327	0.553237	0.502424	0.5192291	0.6881685	0.5951717	0.5606143	0.5253545	0.5927671	0.5840747	0.5923307	0.5907072	0.5532032	0.3967752	0.5034477	0.3551151	0.4295079	0.391751	0.3873126	0.4203938	0.3342869	0.3185862	0.4310895	0.4009255	0.3981497	0.3810976	0.3922962	0.4859546	0.3788361	0.3368897	0.3826782	0.3669009	0.3303616	0.3786312	0.3543985	0.3827735	0.4219947	0.3886041	0.3843581	0.6030042	0.4085525	0.4706093	0.4930708	0.7228858	0.5901515	0.622293	0.5649917	0.5587907	0.6995307	0.6739768
