ROI	B51315	B51325	B51732	B51742	B51852	B51861	B51872	B51882	B51813	B51824	B51836	B52233	B52242	B52253	B52264	B52274	B53106	B52711	B52715	B52823	B52824	B52825	B52836	B53041	B53054	B53161	B53183	B53195	B53212	B53233	B53245	B53257	B53269	B53279	B53281	B53291	B55012	B55023	B55034	B55045	B55056	B54611	B54623	B54645	B54751	B49913	B49924	B49935	B49946	B49957	B49968	B49978	B49901
40	0.7424327	0.8166001	0.6963307	0.613371	0.7270794	0.664884	0.7547783	0.5613585	0.6707554	0.643276	0.6863167	0.7405583	0.7930539	0.814582	0.8052766	0.737518	0.558916	0.495604	0.4520158	0.5022854	0.4456263	0.487693	0.5239894	0.4368845	0.424572	0.5334527	0.5406622	0.5132136	0.4970532	0.4695925	0.4210637	0.4892093	0.4073977	0.561409	0.4740078	0.4954433	0.443519	0.5438716	0.5586322	0.562482	0.4780953	0.5351662	0.7484297	0.6639462	0.6906677	0.6557279	0.8766296	0.8425398	0.7765699	0.7396305	0.7731688	0.7746369	0.7518111
41	0.4764819	0.6338684	0.4357893	0.4640372	0.413551	0.3966511	0.3767824	0.5685912	0.4923652	0.4477198	0.4159523	0.5211399	0.5112833	0.5324779	0.4336987	0.3992703	0.3035778	0.4043592	0.3166423	0.3501374	0.2987542	0.3169453	0.3047	0.2756373	0.2801448	0.3400167	0.3319709	0.2957614	0.2978218	0.2949994	0.4316684	0.3173302	0.2355745	0.3110895	0.316812	0.2522372	0.2753693	0.2552495	0.2639435	0.296157	0.2784667	0.3046615	0.3937989	0.3673201	0.4060885	0.4170638	0.6196126	0.548936	0.6019966	0.5059715	0.4970852	0.5508599	0.5674745
42	0.4309359	0.5029726	0.4294754	0.2903597	0.395238	0.3059487	0.343352	0.2543993	0.376016	0.3475871	0.3599265	0.4970225	0.4627777	0.4897615	0.4181029	0.376685	0.2888525	0.2918501	0.2846366	0.2890323	0.2244809	0.2795213	0.2454513	0.2443473	0.2520805	0.2871449	0.3127519	0.2651439	0.2873297	0.2434943	0.2257838	0.3109418	0.2206681	0.359111	0.3232887	0.2885078	0.2849899	0.294718	0.3001541	0.3310519	0.2453423	0.2992245	0.3811282	0.4085949	0.4599393	0.3450337	0.5295383	0.4891893	0.4549665	0.3861005	0.4797518	0.49015	0.4644609
43	0.3720864	0.4414685	0.3773188	0.294116	0.3675388	0.2996536	0.3068399	0.2903836	0.3319025	0.3119373	0.3177101	0.3942046	0.3785231	0.4073365	0.371222	0.3759956	0.2706625	0.304515	0.2690984	0.2919192	0.2334445	0.2646892	0.2311985	0.2381204	0.2191596	0.2637917	0.243757	0.258693	0.2569473	0.2475502	0.2526114	0.2510479	0.2190519	0.3244214	0.2658469	0.2568575	0.2176951	0.2666742	0.2878954	0.3020738	0.2515033	0.2350982	0.3021222	0.3137204	0.3782054	0.348838	0.45006	0.4302159	0.4140036	0.349005	0.4477346	0.4232832	0.4119647
44	0.413342	0.4883969	0.4167988	0.3008251	0.4084595	0.3162577	0.3301622	0.2968703	0.3578067	0.3345252	0.3528205	0.4390175	0.4250552	0.4611	0.4190742	0.4133842	0.2900224	0.3374859	0.2974394	0.3103914	0.245146	0.2923345	0.2519945	0.2521241	0.2454629	0.2950318	0.2843733	0.2798192	0.2882709	0.2659112	0.2756591	0.2959068	0.2380855	0.3340421	0.2984088	0.2962688	0.2324234	0.3016398	0.331549	0.3430962	0.2761426	0.2468568	0.3263944	0.3486018	0.4150176	0.3595333	0.5084767	0.4762523	0.4577469	0.3742563	0.4869286	0.4610035	0.4465032
45	0.3817971	0.4449331	0.3843468	0.2721392	0.3512174	0.2771692	0.2985837	0.2489385	0.3322959	0.3065054	0.3143	0.4142352	0.382326	0.4162332	0.3561052	0.3459907	0.2545079	0.285851	0.2696809	0.2831756	0.2068008	0.2527995	0.2154129	0.2188623	0.2196551	0.2589799	0.2637134	0.2485358	0.2485333	0.2162164	0.2247488	0.2744535	0.2015456	0.309201	0.2804197	0.2549625	0.2403949	0.2563013	0.274913	0.2991945	0.23669	0.2576251	0.3361713	0.3455956	0.3858543	0.3310173	0.4584462	0.4198819	0.4211847	0.3420945	0.4429795	0.4258995	0.4174294
46	0.3615314	0.4392537	0.3641444	0.2762346	0.3453449	0.277701	0.290363	0.2683588	0.323293	0.3035353	0.3049522	0.3807586	0.3588265	0.3915136	0.3431277	0.3409889	0.248097	0.2778516	0.2551329	0.2722204	0.2193663	0.2480732	0.2005407	0.2181937	0.2057374	0.2464322	0.2409884	0.2414653	0.2320399	0.2179168	0.2338275	0.2476806	0.2032464	0.2814699	0.255598	0.2410698	0.2215278	0.2465613	0.2603826	0.2875823	0.2364567	0.2416166	0.3321368	0.3147215	0.3746391	0.3241727	0.4351251	0.4076071	0.3993388	0.3298509	0.4207555	0.403323	0.3968255
47	0.435383	0.6390668	0.4504	0.3719728	0.4230693	0.3864857	0.371181	0.4790174	0.483976	0.3963702	0.370537	0.4923315	0.3989496	0.4702009	0.4080847	0.401728	0.2428683	0.3808328	0.277103	0.371431	0.2832987	0.3070272	0.296451	0.2536026	0.2765248	0.321094	0.3368059	0.2845253	0.28418	0.2876741	0.3919134	0.3253041	0.2365893	0.2941341	0.261529	0.2418167	0.2512123	0.238982	0.2643851	0.3056628	0.2431899	0.2403599	0.3776882	0.2831344	0.2829603	0.4036266	0.5932725	0.47145	0.5502483	0.4232749	0.4913638	0.5743418	0.5431813
49	0.2656359	0.3571952	0.265957	0.2283755	0.2857871	0.19954	0.2113515	0.2453501	0.2859862	0.2698289	0.2315361	0.2581778	0.2482619	0.2919675	0.2650381	0.2779602	0.1668634	0.1968313	0.1988373	0.1960726	0.1557254	0.1873723	0.1759393	0.1777078	0.1728377	0.1680281	0.1472196	0.1780911	0.1689751	0.1850789	0.1995761	0.187612	0.1656932	0.1780782	0.1725002	0.1601573	0.1866422	0.2062576	0.1935247	0.2053439	0.1838598	0.225639	0.263181	0.2534974	0.2889232	0.1989837	0.2888081	0.2928268	0.2889482	0.2150788	0.2853552	0.2778143	0.2940243
50	0.4025623	0.5278667	0.4370078	0.3820791	0.4840967	0.3820402	0.3438388	0.4334074	0.4378056	0.3777552	0.3910479	0.4376121	0.4045734	0.4351916	0.4595343	0.4270445	0.2770618	0.3721286	0.3142211	0.3634355	0.2974741	0.3138451	0.3065481	0.265541	0.2594945	0.3216609	0.2950486	0.3006983	0.3017064	0.2944534	0.3857567	0.284419	0.2451946	0.2871963	0.2882331	0.267121	0.2237766	0.2598777	0.3134032	0.3186167	0.3097295	0.2337881	0.3530573	0.2861157	0.3208276	0.4199913	0.5883044	0.5184903	0.5107739	0.4092023	0.5017119	0.5148472	0.519465
51	0.547644	0.6316174	0.5322385	0.4567672	0.5394433	0.4560374	0.4979834	0.4533219	0.5202263	0.5087293	0.4850233	0.5474403	0.5718867	0.5998884	0.5440592	0.5278743	0.3915099	0.4158779	0.3897271	0.4095933	0.3466389	0.3806493	0.3858547	0.3294769	0.3428384	0.3889069	0.3988193	0.3904651	0.382969	0.3647032	0.3857052	0.3833576	0.3297078	0.3854137	0.3713675	0.3583803	0.3440683	0.3942885	0.4080249	0.4494857	0.3736854	0.3480772	0.5114605	0.445581	0.5183853	0.4990127	0.661891	0.6358821	0.6023996	0.5398737	0.637009	0.6395891	0.6381388
52	0.4217579	0.5261421	0.3677566	0.421967	0.3484451	0.3484575	0.3456906	0.4865263	0.4189578	0.3750943	0.3454753	0.4444936	0.4240311	0.4203707	0.3664088	0.346351	0.2552013	0.3610283	0.2579165	0.2970015	0.2644057	0.2564383	0.2688992	0.2413284	0.2462289	0.291758	0.2845194	0.2527191	0.2607536	0.2511285	0.3374939	0.2693019	0.2028096	0.2793413	0.2705882	0.2122601	0.251502	0.2246449	0.237075	0.2669569	0.245013	0.2763437	0.351695	0.3143658	0.3615204	0.3692912	0.4917406	0.449659	0.4742161	0.4199797	0.3984045	0.455102	0.4573278
53	0.4838782	0.5795894	0.4940954	0.3753217	0.4937637	0.3866302	0.414915	0.3590509	0.4506988	0.4332076	0.4374314	0.5277126	0.5251297	0.5553032	0.5254036	0.4963994	0.3522995	0.3924987	0.3551128	0.378868	0.298064	0.3560057	0.3275319	0.3116752	0.3067687	0.3577428	0.3678441	0.3407801	0.3486723	0.3253864	0.3466055	0.3413618	0.285371	0.3786508	0.3388315	0.3263367	0.2559107	0.3557405	0.3834732	0.4142293	0.3365036	0.2989466	0.387105	0.4089977	0.4754823	0.4449258	0.6472903	0.5831646	0.5646634	0.4644939	0.5996394	0.5761268	0.5609981
54	0.5209245	0.5927132	0.4970081	0.3606066	0.4797853	0.3858685	0.4363727	0.3152815	0.4498855	0.4388025	0.4312198	0.5788038	0.5508051	0.5613921	0.4922864	0.4514408	0.3556107	0.344561	0.3428396	0.3366241	0.2786052	0.3291327	0.3135283	0.2987155	0.3035239	0.3498347	0.3731896	0.3172115	0.3371121	0.3014044	0.2697025	0.3639209	0.2819859	0.4242244	0.365211	0.3457673	0.3385691	0.3567773	0.3697825	0.4012353	0.3061154	0.3391429	0.4659474	0.4708391	0.5501689	0.4419658	0.666517	0.6211596	0.5829387	0.5310939	0.5831528	0.6120151	0.5622773
55	0.4302213	0.5243254	0.4460196	0.3359109	0.425945	0.3398459	0.3577668	0.3184693	0.3984749	0.3740079	0.3790902	0.4757844	0.4585209	0.493953	0.4555614	0.4480565	0.3259726	0.3580869	0.3154137	0.3373024	0.2616773	0.3110492	0.2805623	0.2752004	0.2705212	0.3283911	0.3197415	0.3091941	0.3153147	0.288507	0.3132102	0.3064061	0.2533215	0.3275433	0.3113531	0.2924525	0.2432537	0.328793	0.3551254	0.3769675	0.3128092	0.2681313	0.3602894	0.3719911	0.4385631	0.3862368	0.5486162	0.5145101	0.4845563	0.3898458	0.4939591	0.4715119	0.4669833
56	0.5752435	0.6369695	0.5525342	0.4208708	0.5359038	0.446143	0.5175158	0.373089	0.5199087	0.4941042	0.4695356	0.6220453	0.6221318	0.6143078	0.5473966	0.5204303	0.4091054	0.3847986	0.3699254	0.391095	0.3164473	0.3725228	0.3670711	0.3378237	0.3348131	0.387331	0.4070696	0.3632942	0.3783547	0.3449627	0.3208267	0.394913	0.3327983	0.442103	0.3843954	0.3876211	0.3808663	0.4006246	0.4214495	0.4601462	0.3510755	0.412917	0.5162277	0.5055223	0.5895426	0.4992501	0.7267118	0.682792	0.6335485	0.5621266	0.6707804	0.66033	0.6360853
57	0.4448299	0.5609986	0.4243974	0.403419	0.3903455	0.3520005	0.3489014	0.483788	0.469394	0.419364	0.3968596	0.4694143	0.4696211	0.4746835	0.4032122	0.3831793	0.2790332	0.3595985	0.2926039	0.3183646	0.2704918	0.2850746	0.2750368	0.2603225	0.2661009	0.3095825	0.306214	0.2772838	0.2774281	0.2647106	0.3494667	0.2951225	0.2153027	0.2877993	0.2856128	0.2431258	0.212359	0.2338644	0.2502156	0.2679381	0.2368105	0.2401699	0.2948292	0.3143951	0.3362149	0.3864331	0.5321901	0.4883223	0.4933227	0.4341373	0.4506378	0.4515429	0.4513866
58	0.3227905	0.3919052	0.3127212	0.2709292	0.3248674	0.2407544	0.2497891	0.2744354	0.3122066	0.2829322	0.2721583	0.3357717	0.3053243	0.3523906	0.3255471	0.3212072	0.2083938	0.2268471	0.2309583	0.2495887	0.2157961	0.2183902	0.1896552	0.2075249	0.195485	0.2060251	0.1816394	0.2129184	0.2003126	0.2222095	0.2306032	0.2186598	0.1813237	0.2435592	0.2140539	0.1936577	0.2058785	0.2509488	0.25046	0.2368973	0.2203776	0.2341705	0.3220383	0.2796627	0.3125881	0.2616646	0.3660294	0.3420798	0.3350796	0.2595897	0.407534	0.3445217	0.3441102
59	0.366426	0.4638027	0.3549711	0.3467238	0.3443514	0.3296969	0.3574423	0.36162	0.3685915	0.3359521	0.3227714	0.3776015	0.361018	0.3632634	0.3197283	0.34078	0.2580939	0.2405492	0.2457226	0.2598799	0.2666862	0.2440502	0.2463626	0.2265673	0.2211016	0.2527304	0.2424521	0.2640926	0.2460831	0.2404303	0.2677048	0.2543128	0.2164772	0.2484619	0.2398995	0.2177189	0.2601041	0.2454238	0.251554	0.2858492	0.2642447	0.3105509	0.3974169	0.3674273	0.4240856	0.3254741	0.4387167	0.4024892	0.4055002	0.383166	0.370142	0.4474768	0.4282576
60	0.3859242	0.4930067	0.3816696	0.3862216	0.3590576	0.35796	0.3590754	0.4217395	0.3931391	0.3567211	0.3386427	0.3967498	0.3921209	0.3772786	0.3473399	0.3487362	0.2612445	0.2868085	0.2469814	0.2823746	0.2588203	0.2460292	0.2404123	0.226022	0.2311805	0.2752129	0.2599933	0.2493358	0.2556288	0.2468281	0.3020059	0.2682573	0.2067705	0.2479715	0.246394	0.2167511	0.2443198	0.2445955	0.2441647	0.2853369	0.2516176	0.2959345	0.3543811	0.3359787	0.3796761	0.3433521	0.4628352	0.3964346	0.4141743	0.3809583	0.3741368	0.4438372	0.4259611
61	0.4377285	0.5363768	0.4247923	0.3949433	0.4116723	0.3952789	0.4238566	0.4005806	0.417513	0.3970016	0.3844956	0.4492585	0.4511642	0.4454469	0.4006957	0.411416	0.3063076	0.3219065	0.286837	0.3129293	0.2935947	0.282189	0.3075843	0.2558168	0.2581028	0.2971634	0.2892313	0.3097766	0.2819748	0.2732262	0.2954199	0.2862743	0.2506187	0.2951376	0.2829683	0.2546097	0.2785586	0.2865656	0.297339	0.3222255	0.3092409	0.3236735	0.459116	0.3795864	0.4439935	0.406902	0.5021189	0.481145	0.4708974	0.4311451	0.4560907	0.488633	0.4842111
62	0.4028168	0.5184831	0.3882679	0.4198354	0.3707131	0.3776624	0.3722503	0.4736769	0.4264675	0.3789677	0.3604254	0.4233122	0.4181493	0.4034441	0.3777293	0.3630767	0.2716886	0.3329951	0.2588915	0.3058898	0.2756883	0.2617806	0.2687045	0.2410337	0.2474109	0.2916696	0.2854909	0.264013	0.2699713	0.2642266	0.3320619	0.2701269	0.2204238	0.2679816	0.2631042	0.223348	0.2643375	0.2469037	0.2551019	0.2928875	0.2659994	0.2993942	0.3779547	0.3436691	0.3887602	0.3646695	0.491098	0.4292516	0.4570341	0.4129325	0.4026169	0.4702756	0.4614355
63	0.4378177	0.5773721	0.4472948	0.4539256	0.4450921	0.4294183	0.4244013	0.484788	0.4625188	0.4378884	0.4130478	0.4716406	0.4744315	0.4675475	0.4474588	0.4439039	0.309188	0.3725298	0.2944168	0.3463276	0.3040946	0.3004649	0.3205227	0.2636416	0.2634369	0.3249858	0.3139531	0.3055991	0.2951478	0.3069279	0.3624034	0.3021403	0.2528251	0.2954207	0.282022	0.2589805	0.2711417	0.2915137	0.3060629	0.3471177	0.3174106	0.3131306	0.4522197	0.3636369	0.4217599	0.4210705	0.5960852	0.5229236	0.5470241	0.4545701	0.5205662	0.5502681	0.5502357
64	0.4261886	0.5758743	0.4309785	0.4348722	0.4384398	0.3953471	0.3897724	0.485172	0.4716526	0.4245813	0.4103043	0.4505833	0.4433925	0.449564	0.4547105	0.4242704	0.3011501	0.3898318	0.297423	0.3559245	0.300318	0.3051363	0.3099551	0.2613803	0.2677644	0.324029	0.30609	0.3063418	0.2962732	0.3090447	0.3797625	0.2989323	0.2529208	0.2957	0.2827153	0.2585782	0.2629313	0.2797593	0.2924076	0.3299146	0.3069135	0.2818043	0.4040762	0.3138982	0.3640799	0.4006885	0.5783606	0.5030968	0.5308463	0.4404942	0.4971467	0.5332796	0.5351397
65	0.3564618	0.4530876	0.3689381	0.3289312	0.3479741	0.2981341	0.3186921	0.3557717	0.362679	0.3353555	0.3182871	0.3639119	0.3587716	0.3633844	0.3344232	0.3450548	0.2359174	0.2640029	0.2417061	0.2608132	0.2333224	0.2365942	0.2271446	0.2110129	0.2100161	0.2451335	0.2304523	0.2386803	0.2318756	0.230563	0.262802	0.2442046	0.205195	0.2411627	0.2335122	0.2139547	0.2230454	0.2423638	0.2484119	0.2754256	0.2380137	0.2584103	0.3423555	0.2946726	0.3598725	0.3165346	0.4366044	0.3920366	0.3983392	0.3428793	0.3855332	0.4169664	0.3975574
66	0.3859514	0.4900948	0.3788697	0.3850208	0.3543838	0.3596295	0.333781	0.4419315	0.3937704	0.3586968	0.3441721	0.404924	0.4036294	0.3849673	0.3540201	0.3450128	0.2537158	0.334543	0.2507382	0.2925319	0.2589824	0.2506642	0.2544775	0.2269022	0.2369729	0.2841423	0.2765419	0.250352	0.2579219	0.2475363	0.32259	0.2712787	0.2077493	0.2708034	0.2641845	0.2192362	0.2370016	0.2243647	0.230897	0.270443	0.2375893	0.2640002	0.3302663	0.3099977	0.346417	0.3547258	0.4842576	0.430703	0.4566441	0.3946098	0.401612	0.4486147	0.4442896
67	0.4319625	0.563039	0.4330392	0.4581394	0.4230692	0.4201575	0.4165857	0.5009063	0.4522072	0.4248412	0.4017497	0.4477397	0.4514589	0.4450803	0.4339022	0.4192972	0.3059279	0.3873705	0.2878285	0.3472614	0.3171643	0.2978413	0.318898	0.2683065	0.2751419	0.3326307	0.3178049	0.3055986	0.2996286	0.3044852	0.3660546	0.2921398	0.2508503	0.2906037	0.2899659	0.2525148	0.3002264	0.2826278	0.2973518	0.3279693	0.3092696	0.3221403	0.4410772	0.3580764	0.4221512	0.4144681	0.5633278	0.4903455	0.5175349	0.4566608	0.4630423	0.5183216	0.5193771
68	0.4266918	0.5464972	0.4329404	0.4265917	0.4100444	0.4040045	0.3963781	0.4630242	0.4365065	0.3988713	0.3893522	0.4490134	0.4523658	0.4262298	0.4038413	0.400329	0.2886281	0.347102	0.2740051	0.324487	0.2877405	0.278797	0.2787792	0.2476644	0.2520333	0.3084711	0.2919545	0.2829155	0.2827473	0.2786739	0.3433755	0.2952962	0.2306802	0.2870524	0.2821388	0.2466894	0.2634575	0.2647444	0.2774334	0.313446	0.2777697	0.3094956	0.40251	0.3545781	0.4068455	0.4004296	0.5443202	0.4756364	0.49896	0.4294319	0.4637216	0.5163581	0.5044231
69	0.6254587	0.6934433	0.5413521	0.4696083	0.5647515	0.5131354	0.6068781	0.4171659	0.5307671	0.5162854	0.5243946	0.6353197	0.6619847	0.6467761	0.5579351	0.5173242	0.4299113	0.3775529	0.393793	0.391104	0.3487576	0.3827015	0.3953998	0.3592577	0.3542492	0.4142223	0.4237948	0.3824978	0.3773534	0.3468696	0.30985	0.4128608	0.3522876	0.468024	0.4117255	0.3982048	0.454862	0.4362059	0.448001	0.4696902	0.4079843	0.4800591	0.6299693	0.6133929	0.7052137	0.5643907	0.6855606	0.6687927	0.6218385	0.6229842	0.6158792	0.6683962	0.639793
70	0.592782	0.6772261	0.5411447	0.5413333	0.5686913	0.5280846	0.6013953	0.5075604	0.5724589	0.5482485	0.5289552	0.5721385	0.5903306	0.5897455	0.5717792	0.5562089	0.4190252	0.4220659	0.3825902	0.4211277	0.3712726	0.3872417	0.4123663	0.3262745	0.3394621	0.4110596	0.4061369	0.4160915	0.3793054	0.4067449	0.3770016	0.3501802	0.4010755	0.3851518	0.3599418	0.3755785	0.3909557	0.4431361	0.4213499	0.4498728	0.4178312	0.4155718	0.5771707	0.4874108	0.5977603	0.5471862	0.6506353	0.6526785	0.6126316	0.5708929	0.658594	0.6360144	0.6305929
71	0.430864	0.4996738	0.4100589	0.3629054	0.387263	0.3724179	0.4237766	0.3588453	0.4019901	0.3777875	0.3650974	0.453751	0.4598567	0.4448683	0.381209	0.3912629	0.2979129	0.2746927	0.2786059	0.284042	0.2778803	0.2619117	0.3087234	0.2453102	0.2442969	0.2781129	0.2706427	0.2916925	0.2699507	0.2513722	0.260635	0.2775545	0.2365923	0.2992444	0.2722577	0.2654662	0.2886327	0.2806218	0.2804941	0.3063549	0.2704771	0.2881421	0.4463474	0.3748725	0.4659172	0.3969911	0.4764886	0.4584021	0.4415105	0.4289017	0.4278754	0.4223521	0.4472926
72	0.4466485	0.5443342	0.4217389	0.4342682	0.4367361	0.4286453	0.4603903	0.4570152	0.4463939	0.4141593	0.4109417	0.4376443	0.4408365	0.4489931	0.4472967	0.4489077	0.329844	0.3654582	0.3071616	0.3499279	0.3283837	0.3085626	0.3392929	0.2760497	0.282111	0.3318458	0.3225184	0.3321212	0.3110521	0.3103117	0.3364233	0.2887976	0.2790464	0.3153523	0.2872516	0.2757874	0.3161544	0.3079367	0.3202781	0.363245	0.33929	0.3485063	0.4825673	0.3790104	0.4502909	0.4189475	0.5034362	0.4821453	0.4816771	0.453855	0.4465766	0.49243	0.4859466
73	0.4811037	0.5811364	0.4711045	0.4589151	0.4801211	0.4473662	0.4690798	0.4613008	0.4741078	0.4436316	0.4371243	0.476266	0.4852703	0.4858581	0.495976	0.476357	0.3548076	0.393531	0.335552	0.3812289	0.3385275	0.3378753	0.3619395	0.2945857	0.2963506	0.354576	0.3428096	0.3537996	0.3360808	0.3315749	0.3526421	0.3170519	0.2949	0.3351642	0.3036286	0.3048182	0.3116737	0.3363516	0.35376	0.3836735	0.3604532	0.3469481	0.4949879	0.3917018	0.4643463	0.4558791	0.5640569	0.5448615	0.5243611	0.4854678	0.5132611	0.5458798	0.5385995
74	0.5125164	0.6293366	0.4970063	0.5201271	0.515519	0.4979649	0.514001	0.5277575	0.5647822	0.4970313	0.5438012	0.5019255	0.523692	0.4998097	0.5300983	0.5397692	0.3916618	0.442368	0.3559913	0.419128	0.3826573	0.368451	0.3865053	0.319818	0.322924	0.3919327	0.3742033	0.3824113	0.3658728	0.3840058	0.4056917	0.332537	0.3494506	0.3707065	0.326566	0.3266633	0.3457576	0.3639719	0.3686487	0.4081086	0.3846265	0.4158188	0.5537501	0.4082081	0.479055	0.4918841	0.6089978	0.5620274	0.5591261	0.5291939	0.5516443	0.5857565	0.5707006
75	0.5168939	0.6073138	0.4995348	0.4153281	0.5051594	0.4279755	0.4616188	0.4134245	0.4803954	0.4582417	0.4505093	0.5302222	0.5323215	0.5423335	0.5176464	0.4956846	0.36009	0.3898603	0.350033	0.381371	0.3260255	0.353902	0.3669065	0.3075185	0.306593	0.3630519	0.3643666	0.35448	0.3414907	0.325728	0.3295236	0.3386215	0.3004143	0.3782448	0.3300953	0.3252456	0.3129657	0.3542794	0.3726181	0.4107255	0.3582627	0.3396468	0.4738827	0.4311276	0.5135382	0.4779244	0.6049339	0.6017533	0.5670342	0.5118926	0.5698754	0.5748467	0.5529247
76	0.5340677	0.6444381	0.5168317	0.495264	0.5449313	0.4835912	0.5132965	0.4862249	0.5434418	0.5091521	0.5256739	0.5320263	0.5439476	0.5529694	0.5558293	0.5228009	0.4080251	0.4393511	0.374373	0.4246582	0.3624875	0.38054	0.3985835	0.3261679	0.3338467	0.3923479	0.3819993	0.4020486	0.37461	0.3807438	0.3886667	0.3545795	0.358689	0.4159705	0.3413489	0.3548128	0.3300506	0.3937884	0.4050155	0.4430217	0.3978893	0.3536583	0.5232245	0.4240267	0.5199771	0.5064872	0.6422917	0.6214668	0.584899	0.5405673	0.62422	0.6189703	0.6005495
77	0.4459578	0.534523	0.4278512	0.3985474	0.4260259	0.3952534	0.4240993	0.3953606	0.426523	0.402988	0.3858695	0.4500825	0.4553262	0.4554066	0.4198529	0.4252232	0.3120162	0.3314313	0.2991623	0.3308262	0.2964667	0.2948699	0.3113379	0.2588862	0.2628808	0.3184172	0.3099115	0.3083399	0.2925875	0.2860055	0.2978123	0.2899716	0.2595045	0.3027258	0.2846779	0.2642777	0.2832094	0.2964826	0.304626	0.3453175	0.3135621	0.322554	0.4512235	0.382241	0.4509436	0.4165447	0.5204132	0.5010254	0.4871567	0.4450849	0.4780101	0.5037054	0.4935484
78	0.4657442	0.5808133	0.4586192	0.4429136	0.4686598	0.4292336	0.4383089	0.4560338	0.4640246	0.442796	0.4230174	0.4736299	0.4814146	0.4867763	0.4755017	0.4688747	0.3353058	0.3871605	0.3232361	0.3677792	0.3196053	0.3256665	0.3393853	0.2809892	0.2891778	0.3418669	0.3331715	0.3364814	0.3215105	0.3223183	0.3551415	0.3077138	0.2804984	0.323714	0.3026988	0.2886337	0.2917629	0.3171127	0.3398829	0.3784038	0.345551	0.3261134	0.4608082	0.3741215	0.4390284	0.4397347	0.5758889	0.5349482	0.5355292	0.4725048	0.5168245	0.546048	0.5422537
79	0.5132583	0.5968397	0.4833825	0.4073823	0.4839293	0.4188547	0.4660285	0.396984	0.4730169	0.4396967	0.4294025	0.5201197	0.5373147	0.5533297	0.4792804	0.4702174	0.3403475	0.372246	0.3356443	0.3570912	0.322106	0.332779	0.3465215	0.3002937	0.2960908	0.3577582	0.3546922	0.3366203	0.3302786	0.3200488	0.3212366	0.3339512	0.2873743	0.3674302	0.328403	0.3138976	0.3000505	0.348187	0.36886	0.3902608	0.3436223	0.3263362	0.4743571	0.4348069	0.5014395	0.4696961	0.6120448	0.5868865	0.5434067	0.4971338	0.5684486	0.5741998	0.5694209
80	0.5270606	0.6095998	0.4681089	0.4496433	0.4812078	0.4644035	0.520081	0.4255569	0.4729884	0.4629481	0.4438649	0.535742	0.5450225	0.5484568	0.4772159	0.4719616	0.3560117	0.3474682	0.3366908	0.3450535	0.3252996	0.3261522	0.3510663	0.2947568	0.2947442	0.3555776	0.3522485	0.340343	0.3272551	0.3045476	0.3094607	0.3249253	0.292473	0.3593664	0.3244955	0.3129279	0.3416864	0.3447269	0.3636123	0.4045484	0.3656326	0.3880365	0.528942	0.4756645	0.5469159	0.4786789	0.5912509	0.5707649	0.5475285	0.5133694	0.5494795	0.5727393	0.5607911
81	0.6945342	0.7569928	0.6091379	0.5412466	0.6455341	0.5779302	0.6684527	0.5071478	0.5962942	0.6045135	0.5858981	0.6952947	0.7242549	0.7328459	0.661839	0.6132309	0.4761866	0.4230482	0.4468052	0.4475557	0.3930187	0.4353488	0.4607956	0.4117856	0.40505	0.4533372	0.4688605	0.4348327	0.4383511	0.4055895	0.3771409	0.4412784	0.394066	0.4864354	0.4313009	0.4369617	0.4529927	0.4594862	0.4831596	0.5068079	0.4271613	0.4936754	0.6709166	0.6095738	0.7239008	0.6347178	0.7754258	0.7552671	0.6976814	0.6964301	0.6991865	0.7253575	0.752506
82	0.6722333	0.7985514	0.6109022	0.4406267	0.6153089	0.5010391	0.6068018	0.3753127	0.5736728	0.5520676	0.5814571	0.7520726	0.7569765	0.7535439	0.642845	0.5445682	0.4497848	0.3620654	0.4171098	0.3915448	0.3207865	0.4034591	0.3958351	0.395364	0.3884113	0.4296373	0.4732795	0.3743249	0.415487	0.3477723	0.3062946	0.4682445	0.3442564	0.5585138	0.4773116	0.4547786	0.514249	0.4790224	0.4859601	0.4943359	0.3942685	0.5541546	0.7075463	0.7365528	0.806988	0.599107	0.8639689	0.8131122	0.7492195	0.7146081	0.7037292	0.8080411	0.7427918
83	0.4271564	0.5110344	0.4104072	0.3495204	0.3956272	0.3635285	0.3890621	0.3437708	0.3956087	0.3690717	0.3612146	0.4378327	0.4337586	0.4359837	0.3835669	0.3866684	0.2932047	0.2860312	0.2816668	0.2944164	0.2661958	0.2660286	0.2775095	0.2437295	0.2384635	0.2836959	0.2809975	0.2823327	0.2724696	0.2524182	0.2614414	0.2806624	0.2351446	0.2899101	0.2737731	0.2534131	0.2715835	0.2832103	0.2934525	0.3310964	0.282005	0.3084626	0.4328856	0.379355	0.4428387	0.3855767	0.5034056	0.4714341	0.4644255	0.4227333	0.4631892	0.4718531	0.4697443
